master_list_code	master_list_celltype	master_list_code_combined	Cell type/tissue	source	experiment	URL	comments
DS12270	AG04450	AG04450-DS12270	AG04450	ENCODE_UW	H3K27ac	https://www.encodeproject.org/files/ENCFF001ENF/@@download/ENCFF001ENF.bigWig	raw signal rep 1 (Stam)
DS12270	AG04450	AG04450-DS12270	AG04450	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001ENU/@@download/ENCFF001ENU.bigWig	raw signal rep 1 (Stam)
DS12352	AG09309	AG09309-DS12352	AG09309	ENCODE_UW	ChromatinAccessibility		
DS12352	AG09309	AG09309-DS12352	AG09309	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001EOI/@@download/ENCFF001EOI.bigWig	raw signal rep 1 (Stam)
DS12357	AG09309	AG09309-DS12357	AG09309	ENCODE_UW	ChromatinAccessibility		
DS12357	AG09309	AG09309-DS12357	AG09309	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001EOI/@@download/ENCFF001EOI.bigWig	raw signal rep 1 (Stam)
DS12291	AG09319	AG09319-DS12291	AG09319	ENCODE_UW	ChromatinAccessibility		
DS12291	AG09319	AG09319-DS12291	AG09319	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001EOU/@@download/ENCFF001EOU.bigWig	raw signal rep 1 (Stam)
DS12286	AG09319	AG09319-DS12286	AG09319	ENCODE_UW	ChromatinAccessibility		
DS12286	AG09319	AG09319-DS12286	AG09319	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001EOU/@@download/ENCFF001EOU.bigWig	raw signal rep 1 (Stam)
DS12374	AG10803	AG10803-DS12374	AG10803	ENCODE_UW	ChromatinAccessibility		
DS12374	AG10803	AG10803-DS12374	AG10803	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001EPH/@@download/ENCFF001EPH.bigWig	raw signal rep 1 (Stam)
DS12384	AG10803	AG10803-DS12384	AG10803	ENCODE_UW	ChromatinAccessibility		
DS12384	AG10803	AG10803-DS12384	AG10803	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001EPH/@@download/ENCFF001EPH.bigWig	raw signal rep 1 (Stam)
DS13513	AoAF	AoAF-DS13513	AoAF	ENCODE_UW	ChromatinAccessibility		
DS13513	AoAF	AoAF-DS13513	AoAF	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001EPU/@@download/ENCFF001EPU.bigWig	raw signal rep 1 (Stam)
DS13523	AoAF	AoAF-DS13523	AoAF	ENCODE_UW	ChromatinAccessibility		
DS13523	AoAF	AoAF-DS13523	AoAF	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001EPU/@@download/ENCFF001EPU.bigWig	raw signal rep 1 (Stam)
DS14625	BE2_C	BE2_C-DS14625	BE2_C	ENCODE_UW	ChromatinAccessibility		
DS14625	BE2_C	BE2_C-DS14625	BE2_C	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001EQH/@@download/ENCFF001EQH.bigWig	raw signal rep 1 (Stam)
DS14635	BE2_C	BE2_C-DS14635	BE2_C	ENCODE_UW	ChromatinAccessibility		
DS14635	BE2_C	BE2_C-DS14635	BE2_C	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001EQH/@@download/ENCFF001EQH.bigWig	raw signal rep 1 (Stam)
DS10018	BJ	BJ-DS10018	BJ	ENCODE_UW	ChromatinAccessibility		
DS10018	BJ	BJ-DS10018	BJ	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001ERP/@@download/ENCFF001ERP.bigWig	raw signal rep 1 (Stam)
DS10081	BJ	BJ-DS10081	BJ	ENCODE_UW	ChromatinAccessibility		
DS10081	BJ	BJ-DS10081	BJ	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001ERP/@@download/ENCFF001ERP.bigWig	raw signal rep 1 (Stam)
DS16602	HS27a	HS27a-DS16602	bone_marrow_HS27a	ENCODE_UW	ChromatinAccessibility		
DS16597	HS5	HS5-DS16597	bone_marrow_HS5	ENCODE_UW	ChromatinAccessibility		
DS20514	MSC	MSC-DS20514	bone_marrow_MSC	ENCODE_UW	ChromatinAccessibility		
DS20518	MSC	MSC-DS20518	bone_marrow_MSC	ENCODE_UW	ChromatinAccessibility		
DS8235	CACO2	CACO2-DS8235	Caco-2	ENCODE_UW	ChromatinAccessibility		
DS8235	CACO2	CACO2-DS8235	Caco-2	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001ESW/@@download/ENCFF001ESW.bigWig	raw signal rep 1 (Stam)
DS8416	CACO2	CACO2-DS8416	Caco-2	ENCODE_UW	ChromatinAccessibility		
DS8416	CACO2	CACO2-DS8416	Caco-2	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001ESW/@@download/ENCFF001ESW.bigWig	raw signal rep 1 (Stam)
DS17541	CD20	CD20-DS17541	CD20+_RO01778	ENCODE_UW	ChromatinAccessibility		
DS17541	CD20	CD20-DS17541	CD20+_RO01778	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001ETI/@@download/ENCFF001ETI.bigWig	raw signal rep 1 (Stam)
DS18208	CD20	CD20-DS18208	CD20+_RO01778	ENCODE_UW	ChromatinAccessibility		
DS18208	CD20	CD20-DS18208	CD20+_RO01778	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001ETI/@@download/ENCFF001ETI.bigWig	raw signal rep 1 (Stam)
DS16814	CD34	CD34-DS16814	CD34+_Mobilized	ENCODE_UW	ChromatinAccessibility		
DS14108	CD4pos_N	CD4pos_N-DS14108	CD4+_Naive_Wb11970640	ENCODE_UW	ChromatinAccessibility		
DS15241	CD4pos_N	CD4pos_N-DS15241	CD4+_Naive_Wb78495824	ENCODE_UW	ChromatinAccessibility		
DS12393	CMK	CMK-DS12393	CMK	ENCODE_UW	ChromatinAccessibility		
DS17215	CD14	CD14-DS17215	Dont know	ENCODE_UW	ChromatinAccessibility		
DS18637	GM04503D	GM04503D-DS18637	GM04503	ENCODE_UW	ChromatinAccessibility		
DS18640	GM04503D	GM04503D-DS18640	GM04503	ENCODE_UW	ChromatinAccessibility		
DS18973	GM04504A	GM04504A-DS18973	GM04504	ENCODE_UW	ChromatinAccessibility		
DS18975	GM04504A	GM04504A-DS18975	GM04504	ENCODE_UW	ChromatinAccessibility		
DS7748	GM06990	GM06990-DS7748	GM06990	ENCODE_UW	ChromatinAccessibility		
DS7748	GM06990	GM06990-DS7748	GM06990	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001EUW/@@download/ENCFF001EUW.bigWig	raw signal rep 1 (Stam)
DS7784	GM06990	GM06990-DS7784	GM06990	ENCODE_UW	ChromatinAccessibility		
DS7784	GM06990	GM06990-DS7784	GM06990	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001EUW/@@download/ENCFF001EUW.bigWig	raw signal rep 1 (Stam)
DS12599	HCM	HCM-DS12599	HCM	ENCODE_UW	ChromatinAccessibility		
DS12599	HCM	HCM-DS12599	HCM	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001FHN/@@download/ENCFF001FHN.bigWig	raw signal rep 1 (Stam)
DS12763	HEEpiC	HEEpiC-DS12763	HEEpiC	ENCODE_UW	ChromatinAccessibility		
DS12763	HEEpiC	HEEpiC-DS12763	HEEpiC	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001FJA/@@download/ENCFF001FJA.bigWig	raw signal rep 1 (Stam)
DS12431	GM12864	GM12864-DS12431	GM12864	ENCODE_UW	ChromatinAccessibility		
DS12431	GM12864	GM12864-DS12431	GM12864	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001EVL/@@download/ENCFF001EVL.bigWig	raw signal rep 1 (Stam)
DS12436	GM12865	GM12865-DS12436	GM12865	ENCODE_UW	ChromatinAccessibility		
DS12436	GM12865	GM12865-DS12436	GM12865	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001EWB/@@download/ENCFF001EWB.bigWig	raw signal rep 1 (Stam)
DS12442	GM12865	GM12865-DS12442	GM12865	ENCODE_UW	ChromatinAccessibility		
DS12442	GM12865	GM12865-DS12442	GM12865	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001EWB/@@download/ENCFF001EWB.bigWig	raw signal rep 1 (Stam)
DS11814	H7_hESC_T14	H7_hESC_T14-DS11814	H7-hESC	ENCODE_UW	ChromatinAccessibility		
DS11814	H7_hESC_T14	H7_hESC_T14-DS11814	H7-hESC	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001FEH/@@download/ENCFF001FEH.bigWig	raw signal rep 1 (Stam)
DS11909	hESCT0	hESCT0-DS11909	H7-hESC	ENCODE_UW	ChromatinAccessibility		
DS11909	hESCT0	hESCT0-DS11909	H7-hESC	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001FEH/@@download/ENCFF001FEH.bigWig	raw signal rep 1 (Stam)
DS11953	H7_hESC_T5	H7_hESC_T5-DS11953	H7-hESC	ENCODE_UW	ChromatinAccessibility		
DS11953	H7_hESC_T5	H7_hESC_T5-DS11953	H7-hESC	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001FEH/@@download/ENCFF001FEH.bigWig	raw signal rep 1 (Stam)
DS12147	H7_hESC_T14	H7_hESC_T14-DS12147	H7-hESC	ENCODE_UW	ChromatinAccessibility		
DS12147	H7_hESC_T14	H7_hESC_T14-DS12147	H7-hESC	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001FEH/@@download/ENCFF001FEH.bigWig	raw signal rep 1 (Stam)
DS13133	hESCT0	hESCT0-DS13133	H7-hESC	ENCODE_UW	ChromatinAccessibility		
DS13133	hESCT0	hESCT0-DS13133	H7-hESC	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001FEH/@@download/ENCFF001FEH.bigWig	raw signal rep 1 (Stam)
DS14732	H7_hESC_T2	H7_hESC_T2-DS14732	H7-hESC	ENCODE_UW	ChromatinAccessibility		
DS14732	H7_hESC_T2	H7_hESC_T2-DS14732	H7-hESC	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001FEH/@@download/ENCFF001FEH.bigWig	raw signal rep 1 (Stam)
DS15665	H7_hESC_T5	H7_hESC_T5-DS15665	H7-hESC	ENCODE_UW	ChromatinAccessibility		
DS15665	H7_hESC_T5	H7_hESC_T5-DS15665	H7-hESC	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001FEH/@@download/ENCFF001FEH.bigWig	raw signal rep 1 (Stam)
DS15809	H7_hESC_T9	H7_hESC_T9-DS15809	H7-hESC	ENCODE_UW	ChromatinAccessibility		
DS15809	H7_hESC_T9	H7_hESC_T9-DS15809	H7-hESC	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001FEH/@@download/ENCFF001FEH.bigWig	raw signal rep 1 (Stam)
DS15192	HAh	HAh-DS15192	HA-h	ENCODE_UW	ChromatinAccessibility		
DS15202	HAh	HAh-DS15202	HA-h	ENCODE_UW	ChromatinAccessibility		
DS14790	HAsp	HAsp-DS14790	HA-sp	ENCODE_UW	ChromatinAccessibility		
DS14790	HAsp	HAsp-DS14790	HA-sp	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001FFS/@@download/ENCFF001FFS.bigWig	raw signal rep 1 (Stam)
DS14794	HAsp	HAsp-DS14794	HA-sp	ENCODE_UW	ChromatinAccessibility		
DS14794	HAsp	HAsp-DS14794	HA-sp	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001FFS/@@download/ENCFF001FFS.bigWig	raw signal rep 1 (Stam)
DS14765	HAc	HAc-DS14765	HAc	ENCODE_UW	ChromatinAccessibility		
DS14765	HAc	HAc-DS14765	HAc	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001FFE/@@download/ENCFF001FFE.bigWig	raw signal rep 1 (Stam)
DS14770	HAc	HAc-DS14770	HAc	ENCODE_UW	ChromatinAccessibility		
DS14770	HAc	HAc-DS14770	HAc	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001FFE/@@download/ENCFF001FFE.bigWig	raw signal rep 1 (Stam)
DS12663	HAEpiC	HAEpiC-DS12663	HAEpiC	ENCODE_UW	ChromatinAccessibility		
DS12673	HAEpiC	HAEpiC-DS12673	HAEpiC	ENCODE_UW	ChromatinAccessibility		
DS13806	HBMEC	HBMEC-DS13806	HBMEC	ENCODE_UW	ChromatinAccessibility		
DS13806	HBMEC	HBMEC-DS13806	HBMEC	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001FGE/@@download/ENCFF001FGE.bigWig	raw signal rep 1 (Stam)
DS13817	HBMEC	HBMEC-DS13817	HBMEC	ENCODE_UW	ChromatinAccessibility		
DS13817	HBMEC	HBMEC-DS13817	HBMEC	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001FGE/@@download/ENCFF001FGE.bigWig	raw signal rep 1 (Stam)
DS14834	HBVP	HBVP-DS14834	HBVP	ENCODE_UW	ChromatinAccessibility		
DS14845	HBVSMC	HBVSMC-DS14845	HBVSMC	ENCODE_UW	ChromatinAccessibility		
DS14860	HBVSMC	HBVSMC-DS14860	HBVSMC	ENCODE_UW	ChromatinAccessibility		
DS12491	HCF	HCF-DS12491	HCF	ENCODE_UW	ChromatinAccessibility		
DS12491	HCF	HCF-DS12491	HCF	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001FGS/@@download/ENCFF001FGS.bigWig	raw signal rep 1 (Stam)
DS12501	HCF	HCF-DS12501	HCF	ENCODE_UW	ChromatinAccessibility		
DS12501	HCF	HCF-DS12501	HCF	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001FGS/@@download/ENCFF001FGS.bigWig	raw signal rep 1 (Stam)
DS13480	HCFaa	HCFaa-DS13480	HCFaa	ENCODE_UW	ChromatinAccessibility		
DS13480	HCFaa	HCFaa-DS13480	HCFaa	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001FHA/@@download/ENCFF001FHA.bigWig	raw signal rep 1 (Stam)
DS13484	HCFaa	HCFaa-DS13484	HCFaa	ENCODE_UW	ChromatinAccessibility		
DS13484	HCFaa	HCFaa-DS13484	HCFaa	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001FHA/@@download/ENCFF001FHA.bigWig	raw signal rep 1 (Stam)
DS12589	HCM	HCM-DS12589	HCM	ENCODE_UW	ChromatinAccessibility		
DS11637	HConF	HConF-DS11637	HConF	ENCODE_UW	ChromatinAccessibility		
DS11642	HConF	HConF-DS11642	HConF	ENCODE_UW	ChromatinAccessibility		
DS12447	HCPEpiC	HCPEpiC-DS12447	HCPEpiC	ENCODE_UW	ChromatinAccessibility		
DS12447	HCPEpiC	HCPEpiC-DS12447	HCPEpiC	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001FHZ/@@download/ENCFF001FHZ.bigWig	raw signal rep 1 (Stam)
DS12457	HCPEpiC	HCPEpiC-DS12457	HCPEpiC	ENCODE_UW	ChromatinAccessibility		
DS12457	HCPEpiC	HCPEpiC-DS12457	HCPEpiC	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001FHZ/@@download/ENCFF001FHZ.bigWig	raw signal rep 1 (Stam)
DS10671	GM12878	GM12878-DS10671	GM12878	ENCODE_UW	ChromatinAccessibility		
DS10671	GM12878	GM12878-DS10671	GM12878	ENCODE_UW	H3K27ac	https://www.encodeproject.org/files/ENCFF000ASJ/@@download/ENCFF000ASJ.bigWig	
DS10671	GM12878	GM12878-DS10671	GM12878	ENCODE_UW	H3K4me1	https://www.encodeproject.org/files/ENCFF000ARZ/@@download/ENCFF000ARZ.bigWig	
DS10671	GM12878	GM12878-DS10671	GM12878	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF000ASF/@@download/ENCFF000ASF.bigWig	newer fastq files present (no processed files) ENCSR057BWO
DS10671	GM12878	GM12878-DS10671	GM12878	ENCODE_UW	H3K9ac	https://www.encodeproject.org/files/ENCFF000AUF/@@download/ENCFF000AUF.bigWig	
DS9432	GM12878	GM12878-DS9432	GM12878	ENCODE_UW	ChromatinAccessibility		
DS9432	GM12878	GM12878-DS9432	GM12878	ENCODE_UW	H3K27ac	https://www.encodeproject.org/files/ENCFF000ASJ/@@download/ENCFF000ASJ.bigWig	
DS9432	GM12878	GM12878-DS9432	GM12878	ENCODE_UW	H3K4me1	https://www.encodeproject.org/files/ENCFF000ARZ/@@download/ENCFF000ARZ.bigWig	
DS9432	GM12878	GM12878-DS9432	GM12878	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF000ASF/@@download/ENCFF000ASF.bigWig	newer fastq files present (no processed files) ENCSR057BWO
DS9432	GM12878	GM12878-DS9432	GM12878	ENCODE_UW	H3K9ac	https://www.encodeproject.org/files/ENCFF000AUF/@@download/ENCFF000AUF.bigWig	
DS12768	HEEpiC	HEEpiC-DS12768	HEEpiC	ENCODE_UW	ChromatinAccessibility		
DS12768	HEEpiC	HEEpiC-DS12768	HEEpiC	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001FJA/@@download/ENCFF001FJA.bigWig	raw signal rep 1 (Stam)
DS13691	HEK293T	HEK293T-DS13691	HEK293T	ENCODE_UW	ChromatinAccessibility		
DS13696	HEK293T	HEK293T-DS13696	HEK293T	ENCODE_UW	ChromatinAccessibility		
DS8200	Hela	Hela-DS8200	HeLa-S3	ENCODE_UW	ChromatinAccessibility		
DS8200	Hela	Hela-DS8200	HeLa-S3	ENCODE_UW	H3K27ac	https://www.encodeproject.org/files/ENCFF000BBR/@@download/ENCFF000BBR.bigWig	
DS8200	Hela	Hela-DS8200	HeLa-S3	ENCODE_UW	H3K4me1	https://www.encodeproject.org/files/ENCFF000BBF/@@download/ENCFF000BBF.bigWig	
DS8200	Hela	Hela-DS8200	HeLa-S3	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF000BCP/@@download/ENCFF000BCP.bigWig	
DS8200	Hela	Hela-DS8200	HeLa-S3	ENCODE_UW	H3K9ac	https://www.encodeproject.org/files/ENCFF000BDB/@@download/ENCFF000BDB.bigWig	
DS13547	HCT116	HCT116-DS13547	HCT-116	ENCODE_UW	ChromatinAccessibility		
DS13547	HCT116	HCT116-DS13547	HCT-116	ENCODE_UW	H3K27ac	https://www.encodeproject.org/files/ENCFF000VCU/@@download/ENCFF000VCU.bigWig	
DS13547	HCT116	HCT116-DS13547	HCT-116	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001FIM/@@download/ENCFF001FIM.bigWig	raw signal rep 1 (Stam)
DS13551	HCT116	HCT116-DS13551	HCT-116	ENCODE_UW	ChromatinAccessibility		
DS13551	HCT116	HCT116-DS13551	HCT-116	ENCODE_UW	H3K27ac	https://www.encodeproject.org/files/ENCFF000VCU/@@download/ENCFF000VCU.bigWig	
DS13551	HCT116	HCT116-DS13551	HCT-116	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001FIM/@@download/ENCFF001FIM.bigWig	raw signal rep 1 (Stam)
DS15115	HFF	HFF-DS15115	HFF	ENCODE_UW	ChromatinAccessibility		
DS15115	HFF	HFF-DS15115	HFF	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001FMK/@@download/ENCFF001FMK.bigWig	raw signal rep 1 (Stam)
DS15119	HFF	HFF-DS15119	HFF	ENCODE_UW	ChromatinAccessibility		
DS15119	HFF	HFF-DS15119	HFF	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001FMK/@@download/ENCFF001FMK.bigWig	raw signal rep 1 (Stam)
DS15073	HFF_MyC	HFF_MyC-DS15073	HFF-Myc	ENCODE_UW	ChromatinAccessibility		
DS15073	HFF_MyC	HFF_MyC-DS15073	HFF-Myc	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001FMV/@@download/ENCFF001FMV.bigWig	raw signal rep 1 (Stam)
DS15079	HFF_MyC	HFF_MyC-DS15079	HFF-Myc	ENCODE_UW	ChromatinAccessibility		
DS15079	HFF_MyC	HFF_MyC-DS15079	HFF-Myc	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001FMV/@@download/ENCFF001FMV.bigWig	raw signal rep 1 (Stam)
DS11738	HGF	HGF-DS11738	HGF	ENCODE_UW	ChromatinAccessibility		
DS11752	HGF	HGF-DS11752	HGF	ENCODE_UW	ChromatinAccessibility		
DS12684	HIPEpiC	HIPEpiC-DS12684	HIPEpiC	ENCODE_UW	ChromatinAccessibility		
DS12689	HIPEpiC	HIPEpiC-DS12689	HIPEpiC	ENCODE_UW	ChromatinAccessibility		
DS11733	HL60	HL60-DS11733	HL-60	ENCODE_UW	ChromatinAccessibility		
DS11733	HL60	HL60-DS11733	HL-60	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001FNJ/@@download/ENCFF001FNJ.bigWig	raw signal rep 1 (Stam)
DS11809	HL60	HL60-DS11809	HL-60	ENCODE_UW	ChromatinAccessibility		
DS11809	HL60	HL60-DS11809	HL-60	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001FNJ/@@download/ENCFF001FNJ.bigWig	raw signal rep 1 (Stam)
DS10011	Hela	Hela-DS10011	HeLa-S3	ENCODE_UW	ChromatinAccessibility		
DS10011	Hela	Hela-DS10011	HeLa-S3	ENCODE_UW	H3K27ac	https://www.encodeproject.org/files/ENCFF000BBR/@@download/ENCFF000BBR.bigWig	
DS10011	Hela	Hela-DS10011	HeLa-S3	ENCODE_UW	H3K4me1	https://www.encodeproject.org/files/ENCFF000BBF/@@download/ENCFF000BBF.bigWig	
DS10011	Hela	Hela-DS10011	HeLa-S3	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF000BCP/@@download/ENCFF000BCP.bigWig	
DS10011	Hela	Hela-DS10011	HeLa-S3	ENCODE_UW	H3K9ac	https://www.encodeproject.org/files/ENCFF000BDB/@@download/ENCFF000BDB.bigWig	
DS7764	HepG2	HepG2-DS7764	HepG2	ENCODE_UW	ChromatinAccessibility		
